date,open,high,low,volume,close
09/10/2013 8:11:34,1679.25,1680,1678.5,21234,1679.25
09/10/2013 8:30:00,1679.25,1680.75,1679,21219,1680.5
09/10/2013 8:32:03,1680.25,1680.75,1679.25,21197,1679.5
09/10/2013 8:35:13,1679.5,1680,1678.75,21238,1679
09/10/2013 8:37:24,1679,1679.25,1676.75,21251,1677.25
09/10/2013 8:40:51,1677.25,1678.25,1677,21242,1677.5
09/10/2013 8:44:24,1677.5,1678.75,1677.25,21247,1677.25
09/10/2013 8:49:14,1677.25,1679.25,1677.25,21228,1678.75
09/10/2013 8:52:54,1678.75,1680.25,1678.5,21218,1679.75
09/10/2013 8:55:18,1679.75,1681.25,1679.25,21228,1680.75
09/10/2013 8:59:14,1680.75,1681,1679.25,21206,1679.5
09/10/2013 9:04:04,1679.5,1680.5,1679,21224,1680.25
09/10/2013 9:06:41,1680.25,1681.75,1679.5,21210,1681.75
09/10/2013 9:10:13,1681.75,1681.75,1680,21210,1680
09/10/2013 9:14:21,1680,1681,1679.75,21209,1680.75
09/10/2013 9:17:02,1680.75,1682,1679.25,21210,1679.75
09/10/2013 9:21:25,1679.75,1680.5,1679,21217,1680
09/10/2013 9:27:18,1680,1681.25,1680,21212,1681
09/10/2013 9:33:09,1681,1682.25,1680.75,21187,1682
09/10/2013 9:39:15,1682,1682,1680.75,21202,1681.5
09/10/2013 9:44:34,1681.5,1682.5,1681.25,21182,1682.5
09/10/2013 9:48:39,1682.5,1682.75,1681.25,21198,1681.75
09/10/2013 9:54:07,1681.75,1682.75,1681.75,21190,1682.5
09/10/2013 9:59:54,1682.5,1683,1681.5,21191,1681.5
09/10/2013 10:03:56,1681.5,1682.25,1681.25,21196,1681.75
09/10/2013 10:08:30,1681.75,1682,1681,21200,1681.75
09/10/2013 10:17:18,1681.75,1682,1680.75,21095,1681.25
09/10/2013 10:24:55,1681.25,1681.5,1680.75,21307,1681.5
09/10/2013 10:29:57,1681.5,1681.75,1681,21177,1681.25
09/10/2013 10:34:05,1681.25,1681.25,1679.75,21209,1679.75
09/10/2013 10:40:11,1679.75,1680.5,1679.25,21240,1679.5
09/10/2013 10:44:38,1679.5,1679.75,1678,21232,1678
09/10/2013 10:47:58,1678,1678.25,1676.75,21238,1677.75
09/10/2013 10:54:23,1677.75,1679,1677.5,21202,1678.75
09/10/2013 10:59:55,1678.75,1679,1678,21282,1678.5
09/10/2013 11:07:57,1678.5,1679.75,1678.5,21218,1679.5
09/10/2013 11:17:37,1679.5,1680,1679.25,21227,1679.5
